Run,Step,Agent,Reward
2,38,Shin,0.42
2,38,Kang,0.94
2,38,Lim,0.66
2,38,Ko,0.62
2,39,Lee,0.56
2,39,Shin,0.5
2,39,Kang,0.88
2,39,Lim,0.6
2,39,Ko,0.64
2,40,Lee,0.52
2,40,Shin,0.34
2,40,Kang,0.86
2,40,Lim,0.6
2,40,Ko,0.74
2,41,Lee,0.7
2,41,Shin,0.48
2,41,Kang,0.96
2,41,Lim,0.74
2,41,Ko,0.82
2,42,Lee,0.7
2,42,Shin,0.42
2,42,Kang,0.9
2,42,Lim,0.74
2,42,Ko,0.7
2,43,Lee,0.6
2,43,Shin,0.5
2,43,Kang,0.86
2,43,Lim,0.6
2,43,Ko,0.68
2,44,Lee,0.52
2,44,Shin,0.32
2,44,Kang,1.08
2,44,Lim,0.76
2,44,Ko,0.74
2,45,Lee,0.52
2,45,Shin,0.32
2,45,Kang,1.0
2,45,Lim,0.82
2,45,Ko,0.76
2,46,Lee,0.54
2,46,Shin,0.44
2,46,Kang,1.14
2,46,Lim,0.62
2,46,Ko,0.6
2,47,Lee,0.36
2,47,Shin,0.52
2,47,Kang,1.2
2,47,Lim,0.7
2,47,Ko,0.54
2,48,Lee,0.42
2,48,Shin,0.38
2,48,Kang,0.92
2,48,Lim,0.8
2,48,Ko,0.68
2,49,Lee,0.6
2,49,Shin,0.46
2,49,Kang,0.94
2,49,Lim,0.62
2,49,Ko,0.74
2,50,Lee,0.5
2,50,Shin,0.42
2,50,Kang,0.96
2,50,Lim,0.76
2,50,Ko,0.66
2,51,Lee,0.42
2,51,Shin,0.52
2,51,Kang,0.94
2,51,Lim,0.76
2,51,Ko,0.6
2,52,Lee,0.64
2,52,Shin,0.4
2,52,Kang,0.88
2,52,Lim,0.68
2,52,Ko,0.76
2,53,Lee,0.42
2,53,Shin,0.4
2,53,Kang,0.9
2,53,Lim,0.76
2,53,Ko,0.58
2,54,Lee,0.6
2,54,Shin,0.5
2,54,Kang,1.0
2,54,Lim,0.88
2,54,Ko,0.62
2,55,Lee,0.5
2,55,Shin,0.46
2,55,Kang,1.16
2,55,Lim,0.76
2,55,Ko,0.54
2,56,Lee,0.52
2,56,Shin,0.64
2,56,Kang,0.96
2,56,Lim,0.94
2,56,Ko,0.48
2,57,Lee,0.48
2,57,Shin,0.52
2,57,Kang,0.98
2,57,Lim,0.72
2,57,Ko,0.64
2,58,Lee,0.44
2,58,Shin,0.66
2,58,Kang,0.98
2,58,Lim,0.72
2,58,Ko,0.54
2,59,Lee,0.64
2,59,Shin,0.38
2,59,Kang,0.88
2,59,Lim,0.62
2,59,Ko,0.9
